Sl. No.,First Name,Last Name,Gender,Age,Phone,Experience (Years),Salary,Married,Department,Date of Resignation,Year of Resignation
66,Alissa,Alexander,Female,28,412-1913-65,12,30037,Single,Finance,06-08-2021,2021
67,Henry,Crawford,Male,29,282-0516-44,9,162828,Married,Marketing,4/20/18,2018
68,Daniel,Taylor,Male,28,901-1368-01,6,57063,Single,Accounting,4/19/15,2015
69,Melanie,Martin,Female,23,280-1512-83,5,169989,Married,Accounting,06-06-2012,2012
70,Agata,Adams,Female,25,738-9542-02,9,49893,Single,HR,12/20/13,2013
71,Penelope,Gray,Female,24,810-6518-86,7,174468,Married,Marketing,08-04-2019,2019
72,Olivia,Thomas,Female,26,287-2339-54,1,193626,Single,Marketing,9/23/20,2020
73,Sophia,Taylor,Female,29,189-5352-53,0,92123,Married,Accounting,,
74,Victor,Anderson,Male,27,806-0519-45,5,77399,Single,HR,01-07-2015,2015
75,Adele,Armstrong,Female,24,451-0113-57,4,57176,Single,Operations,4/20/12,2012
76,Tony,Spencer,Male,35,490-6109-84,5,46499,Single,Operations,,
77,Wilson,Grant,Male,30,834-4742-81,0,93349,Single,Sales,,
78,Kelvin,Parker,Male,31,426-0477-56,3,136876,Single,Marketing,,
79,Jack,Hall,Male,23,103-7866-98,8,138728,Single,Sales,,
80,Wilson,Owens,Male,27,566-6292-62,1,158232,Single,Finance,,
81,Edwin,Harrison,Male,31,000-7321-13,3,179372,Single,Sales,,
82,Sophia,Murphy,Female,24,550-3960-63,9,85997,Single,HR,,
83,Myra,Hamilton,Female,34,808-6694-83,0,120290,Single,Accounting,,
84,Adrian,Howard,Male,34,995-8320-14,4,130269,Single,Development,,
85,Carina,Williams,Female,31,974-3806-73,8,35629,Married,Finance,,
86,Audrey,Adams,Female,28,100-2889-24,10,70206,Single,Development,,
87,Abigail,Jones,Female,29,862-3698-74,2,65802,Married,Operations,,
88,Arianna,Richards,Female,23,884-6488-43,7,130580,Married,R&D,3/27/14,2014
89,Leonardo,Johnson,Male,30,628-1061-68,2,95973,Single,R&D,4/19/11,2011
90,Sienna,Hall,Female,24,497-4959-45,1,137154,Married,Operations,3/17/18,2018
91,Ned,West,Male,33,785-1755-73,0,188719,Single,Finance,6/22/15,2015
92,Fenton,Martin,Male,29,391-0441-67,8,110429,Single,R&D,01-08-2015,2015
93,Olivia,Cunningham,Female,25,776-1129-40,14,182482,Single,Marketing,10/26/18,2018
94,David,Armstrong,Male,24,640-8751-74,13,128873,Single,R&D,10/14/17,2017
95,Paul,Farrell,Male,35,371-0009-62,5,89130,Married,Accounting,05-11-2011,2011
96,Adrian,Alexander,Male,32,090-4845-84,4,103202,Single,Marketing,8/31/10,2010
97,Lydia,Morgan,Female,31,921-7626-02,7,191128,Single,Accounting,,
98,Vivian,Robinson,Female,25,651-4462-36,4,126442,Married,Development,10-10-2013,2013
99,Adele,Thomas,Female,26,582-1789-84,1,52407,Single,Development,08-05-2015,2015
100,Cherry,Rogers,Female,27,606-3147-05,12,125251,Single,R&D,06-10-2020,2020
101,Antony,Hall,Male,30,340-2242-44,6,34331,Single,Sales,06-09-2022,2022
102,Carl,Phillips,Male,34,739-4826-46,2,73459,Married,R&D,,
103,Dexter,Morrison,Male,27,558-2560-10,0,98241,Single,Sales,9/18/14,2014
104,Reid,Armstrong,Male,27,628-7457-01,12,63565,Married,Finance,01-07-2013,2013
105,Mary,Morrison,Female,23,916-1820-25,4,119116,Single,Finance,,
106,Briony,Clark,Female,28,378-1933-55,3,100850,Single,R&D,3/17/20,2020
107,Miller,Morrison,Male,33,715-6231-50,0,104620,Single,Finance,5/26/13,2013
108,Alissa,Farrell,Female,28,272-7682-04,9,156124,Married,Marketing,04-04-2019,2019
109,Brianna,Harper,Female,24,459-1931-90,5,41790,Married,Marketing,11/14/22,2022
110,Edith,Ferguson,Female,33,986-9867-24,4,189016,Married,HR,11-04-2021,2021
111,Richard,Ferguson,Male,34,768-0283-99,11,94808,Married,Sales,10/24/13,2013
112,Hailey,Johnston,Female,32,888-1507-90,3,196316,Single,R&D,2/17/17,2017
113,Fenton,Kelly,Male,24,766-1623-26,3,124332,Single,Accounting,5/22/18,2018
114,Aiden,Wells,Male,35,825-7397-29,5,76066,Married,HR,11-08-2012,2012
115,Ashton,Richardson,Male,32,400-9264-67,12,163882,Single,HR,5/20/13,2013
116,Spike,Crawford,Male,32,758-4661-30,5,31398,Single,HR,7/20/21,2021
117,Elian,Payne,Male,26,253-7504-65,14,56721,Single,Accounting,5/26/18,2018
118,Gianna,Brown,Female,33,934-4113-97,6,62375,Single,Development,10/21/17,2017
119,Carl,Clark,Male,24,391-2704-24,1,74697,Single,Finance,10/19/11,2011
120,Victoria,Miller,Female,23,512-1096-51,3,53446,Married,Development,11/23/20,2020
121,Elise,Elliott,Female,33,915-8526-81,0,116169,Married,HR,5/29/22,2022
122,Nicole,Hawkins,Female,35,023-5266-54,0,146545,Single,Sales,07-03-2020,2020
123,Michael,Mason,Male,32,380-3675-87,1,51763,Single,Sales,09-06-2022,2022
124,Maximilian,Thompson,Male,35,335-1135-81,5,117417,Single,Marketing,1/26/10,2010
125,Rosie,Barrett,Female,35,573-4784-47,10,182998,Married,HR,5/30/22,2022
126,Alina,Brooks,Female,30,299-4309-72,3,172121,Single,Accounting,12/23/16,2016
127,Stella,Rogers,Female,28,736-9444-45,12,71985,Married,R&D,03-08-2014,2014
128,Sam,Brown,Male,27,792-8509-56,6,77745,Single,Finance,8/21/21,2021
129,Edith,Richardson,Female,29,920-2698-82,3,137706,Single,Operations,2/27/14,2014
130,Daniel,Edwards,Male,32,712-4059-37,10,134570,Married,HR,4/16/11,2011
131,April,Grant,Female,35,422-4455-95,11,75232,Married,R&D,2/27/20,2020
132,Lucy,Adams,Female,27,948-6630-04,9,99603,Married,Finance,9/26/15,2015
133,Michelle,Barnes,Female,29,426-7066-84,2,152321,Single,Finance,5/15/12,2012
134,Adelaide,Riley,Female,24,741-4571-04,2,147935,Married,Development,12/20/10,2010
135,Roland,Mitchell,Male,33,270-2362-43,4,114846,Single,Operations,08-09-2016,2016
136,Audrey,Hill,Female,29,855-2467-93,10,197235,Married,Finance,8/27/22,2022
137,Lucia,Higgins,Female,26,799-6980-34,8,169760,Single,Development,04-08-2014,2014
138,Naomi,Carroll,Female,24,287-5827-82,9,195103,Married,Finance,8/19/22,2022
139,Ned,Hamilton,Male,25,079-1155-82,8,167953,Single,Finance,12-02-2017,2017
140,Blake,Rogers,Male,26,743-4595-23,11,70181,Single,Operations,05-05-2021,2021
141,Connie,Parker,Female,32,125-5687-98,5,162338,Married,Finance,12/22/21,2021
142,Blake,Murray,Male,23,686-1760-88,8,152277,Married,Finance,06-04-2014,2014
143,Alexander,Kelly,Male,29,369-6612-23,6,186085,Married,Finance,,
144,James,Ross,Male,25,477-2004-91,1,31475,Married,Sales,,
145,Tiana,Robinson,Female,35,791-4816-63,8,114287,Single,Accounting,,
146,George,Elliott,Male,35,258-3720-12,1,89428,Married,Sales,,
147,Aldus,Montgomery,Male,29,719-5834-56,3,113722,Married,HR,,
148,Jared,Roberts,Male,32,362-4436-05,1,99341,Married,HR,,
149,Cadie,Robinson,Female,23,912-7288-81,8,131695,Single,R&D,,
150,Aldus,Baker,Male,27,210-6656-85,11,110864,Married,Operations,,
151,Marcus,Wright,Male,29,039-0072-27,6,69624,Married,Sales,,
152,Briony,Harrison,Female,31,909-3745-09,0,68207,Single,HR,,
153,Lenny,Davis,Male,31,577-6491-55,6,142082,Single,R&D,,
154,Lucas,Grant,Male,32,252-5558-57,5,81754,Married,Finance,5/18/12,2012
155,Lilianna,Myers,Female,28,793-0510-50,8,134992,Married,Marketing,3/31/17,2017
156,Kelvin,Payne,Male,23,831-2673-05,0,77933,Single,R&D,2/22/15,2015
157,Deanna,Thomas,Female,32,236-2014-59,9,187417,Single,Accounting,9/22/18,2018
158,Adele,Anderson,Female,31,239-5149-13,8,196108,Single,Sales,10/20/15,2015
159,Frederick,Bailey,Male,32,711-1521-97,4,187509,Married,HR,8/15/15,2015
160,Eleanor,Edwards,Female,26,492-6717-47,2,58586,Married,Development,1/23/20,2020
161,Dominik,Thompson,Male,31,758-0313-18,6,152639,Married,Development,3/18/15,2015
162,Lana,Allen,Female,31,066-5494-57,10,58448,Single,Marketing,5/28/19,2019
163,Alen,Kelly,Male,31,271-9043-20,6,199862,Single,Operations,10/31/19,2019
164,Heather,Henderson,Female,24,386-0958-08,7,48486,Single,Marketing,10/25/10,2010
165,Preston,Ferguson,Male,30,847-6000-28,10,80915,Married,HR,5/20/12,2012
166,Caroline,Harris,Female,24,123-5661-56,9,189582,Single,Sales,10-09-2021,2021
167,Daniel,Gray,Male,28,950-4094-56,4,105074,Single,Accounting,4/24/15,2015
168,Michelle,Moore,Female,23,086-5732-06,7,60125,Married,Marketing,11-08-2014,2014
169,James,Allen,Male,31,933-5547-20,1,37455,Married,Finance,08-05-2011,2011
170,Audrey,Baker,Female,32,343-8088-17,2,42779,Married,Marketing,10/14/16,2016
171,Alissa,Mason,Female,34,574-0412-95,3,127832,Married,Development,4/19/14,2014
172,Vanessa,West,Female,28,216-4800-63,3,193927,Single,Sales,11/24/11,2011
173,Alina,Johnston,Female,35,080-5469-54,6,176302,Married,Accounting,10-08-2018,2018
174,Carl,Montgomery,Male,27,826-6961-41,5,172408,Married,Finance,01-10-2016,2016
175,Valeria,Walker,Female,26,999-5328-91,2,155275,Married,Development,8/13/17,2017
176,Lucia,Armstrong,Female,23,383-7133-57,4,154719,Married,HR,10-06-2016,2016
177,Amber,Watson,Female,29,495-7460-85,0,68116,Single,Operations,05-02-2018,2018
178,Spike,Harper,Male,34,433-7487-30,8,96610,Married,Marketing,02-07-2015,2015
179,Naomi,Cameron,Female,35,137-8711-64,13,102362,Single,Development,7/19/22,2022
180,Arianna,Bailey,Female,32,111-8962-90,2,64630,Single,Development,8/23/19,2019
181,Frederick,Rogers,Male,35,867-8637-00,11,175438,Married,Operations,08-03-2014,2014
182,Ted,Richards,Male,27,101-4186-57,4,86278,Married,HR,02-07-2010,2010
183,Annabella,Casey,Female,33,563-0862-51,3,154333,Married,Sales,08-07-2013,2013
184,Natalie,Tucker,Female,35,867-4093-43,0,113311,Single,HR,01-05-2015,2015
185,Elian,Casey,Male,28,940-8915-42,3,140067,Married,Marketing,09-02-2012,2012
186,Alisa,Rogers,Female,29,103-5853-47,1,74476,Married,Operations,07-10-2020,2020
187,Rubie,Casey,Female,25,214-0592-67,11,69125,Married,Development,12/29/13,2013
188,Melanie,Riley,Female,27,750-0405-04,12,117917,Married,Marketing,7/30/14,2014
189,Sabrina,Johnston,Female,23,854-0200-33,5,154837,Single,Accounting,09-02-2020,2020
190,Myra,Murray,Female,34,778-5574-20,9,73357,Married,Accounting,,
191,Amanda,West,Female,27,445-0316-18,6,124124,Single,HR,,
192,Ellia,Taylor,Female,35,493-4698-97,7,83093,Single,Finance,,
193,Kelvin,Douglas,Male,24,121-1735-93,8,96033,Single,Sales,,
194,Abraham,Barrett,Male,31,516-0593-69,8,178276,Single,Marketing,,
195,Maria,Henderson,Female,33,434-0948-80,7,196398,Married,Accounting,,
196,Caroline,Wright,Female,24,933-8517-38,3,183248,Single,R&D,,
197,Clark,Perry,Male,34,955-4929-30,5,95970,Married,Sales,,
198,Natalie,Clark,Female,28,820-8010-14,6,153780,Single,R&D,,
199,Arnold,Reed,Male,32,679-0200-81,9,130329,Single,HR,,
200,Eric,Perry,Male,35,348-5622-16,6,52730,Married,Marketing,,
